text08.txt
5802

32	0.214236
238	0.0780765
229	0.0641158
224	0.0518787
235	0.0418821
232	0.0406756
241	0.0405033
237	0.0399862
242	0.0374009
240	0.033092
226	0.0311961
243	0.0256808
239	0.0217166
236	0.0210272
234	0.0205102
10	0.0187866
13	0.0187866
228	0.0184419
255	0.0156842
46	0.0151672
227	0.0146501
252	0.0146501
225	0.0124095
44	0.0122372
231	0.0122372
251	0.0108583
247	0.00844536
233	0.00723888
230	0.00689417
245	0.00568769
248	0.00534299
45	0.0041365
254	0.0037918
194	0.00275767
249	0.00224061
246	0.00206825
58	0.0018959
206	0.0018959
215	0.0018959
33	0.00155119
209	0.00155119
253	0.00155119
207	0.00137883
202	0.00120648
205	0.00120648
53	0.000861772
195	0.000861772
200	0.000861772
208	0.000861772
34	0.000689417
221	0.000689417
244	0.000689417
49	0.000517063
50	0.000517063
51	0.000517063
52	0.000517063
54	0.000517063
193	0.000517063
196	0.000517063
192	0.000344709
197	0.000344709
55	0.000172354
198	0.000172354
199	0.000172354
201	0.000172354
203	0.000172354
204	0.000172354
210	0.000172354
211	0.000172354
216	0.000172354

4.58816
